index,part,channel,notes,start_sec,start_bar,keep_sec,keep_bar,end_sec
1,Track 1,1,64,1.9672,2.000,17.7048,10.000,33.4424
2,Track 2,3,96,37.3768,20.000,53.1144,28.000,68.8520
3,Track 3,6,32,72.7864,38.000,88.5240,46.000,104.2616
4,Track 4,2,27,108.1960,56.000,123.9336,64.000,139.6712
5,Track 5,7,25,143.6056,74.000,159.3432,82.000,175.0808
6,Track 6,15,57,179.0152,92.000,194.7528,100.000,210.4904
7,Track 7,15,59,214.4248,110.000,230.1624,118.000,245.9000
8,Track 8,15,44,249.8344,128.000,265.5720,136.000,281.3096
9,Track 9,15,48,285.2440,146.000,300.9816,154.000,316.7192
10,Track 10,15,45,320.6536,164.000,336.3912,172.000,352.1288
11,Track 11,15,54,356.0632,182.000,371.8008,190.000,387.5384
12,Track 12,9,192,391.4728,200.000,407.2104,208.000,422.9480
13,Track 13,13,66,426.8824,218.000,442.6200,226.000,458.3576
14,Track 14,13,45,462.2920,236.000,478.0296,244.000,493.7672
15,Track 15,15,63,497.7016,254.000,513.4392,262.000,529.1768
16,Track 16,12,30,533.1112,272.000,548.8488,280.000,564.5864
17,Track 17,4,58,568.5208,290.000,584.2584,298.000,599.9960
18,Track 18,4,64,603.9304,308.000,619.6680,316.000,635.4056
19,Track 19,16,49,639.3400,326.000,655.0776,334.000,670.8152
20,Track 20,16,64,674.7496,344.000,690.4872,352.000,706.2248
